sample_id,iou,dice,precision,recall,pseudo_area,gt_area,area_ratio
goose_251,0.9398894265308423,0.9690134021831053,0.990627357295503,0.9483224741194445,0.34112744140625,0.35634521484375,0.9572948567748478
goose_252,0.950293123339862,0.974513125198834,0.9748333115439927,0.9741931491165641,0.1419248046875,0.14201806640625,0.9993433108821294
goose_253,0.594198457860534,0.7454510508785307,0.5945708278864166,0.9989471122004789,0.144923828125,0.08625830078125,1.6801145723067863
goose_254,0.040069131426604614,0.07705090020630462,0.043850843817183294,0.3172297835949617,0.24370166015625,0.03368701171875,7.234291429316867
goose_255,0.762897597515301,0.8655041547399687,0.866396660331477,0.8646134860588292,0.1176669921875,0.11790966796875,0.9979418500159434
goose_256,0.1631610318328005,0.28054762387578713,0.18335745192996533,0.5969841158771254,0.2726328125,0.083736328125,3.2558486693256827
goose_257,0.9789285477320426,0.9893520904066464,0.9914322849892572,0.9872806067553836,0.27612060546875,0.27728173828125,0.9958124439795517
goose_258,0.9425423033357221,0.970421392334359,0.96778907204994,0.9730680711363288,0.32914453125,0.32735888671875,1.0054547000362453
goose_259,0.8781609288368915,0.9351285242428288,0.8817732189845044,0.9953566615634254,0.12024609375,0.1065244140625,1.128812533805154
goose_260,0.8968322556330194,0.9456105071702553,0.9742464797791389,0.9186098586719973,0.39476171875,0.4186708984375,0.9428926639593767
goose_261,0.8922146405028663,0.943037456116242,0.9110138584974471,0.9773944375052402,0.243673828125,0.22712451171875,1.072864510664279
goose_262,0.9151694136458431,0.955705962224685,0.9624171957561142,0.9490876795430137,0.326388671875,0.33097265625,0.9861499604621794
goose_263,0.9511612940571572,0.974969416371883,0.9694725370834404,0.9805289853800656,0.281380859375,0.2782080078125,1.0114046018568896
goose_264,0.9290177326381386,0.9632028953591911,0.9453517918492846,0.9817411399149807,0.259802734375,0.2501728515625,1.0384929170066008
goose_265,0.8407782063799478,0.9135029994009024,0.8936290020754653,0.934281084868998,0.287021484375,0.27453271484375,1.0454910065576628
goose_266,0.6073019331918958,0.7556787192881327,0.6208621609325238,0.9652845744113226,0.24898828125,0.16014697265625,1.5547485982419713
goose_267,0.861849293342262,0.9257992002082298,0.9186596489646259,0.9330505936198505,0.2599453125,0.25593603515625,1.0156651537611823
goose_268,0.49642699437017823,0.6634830783430451,0.5020279798545048,0.9780199414359316,0.436279296875,0.22394677734375,1.9481383123693157
goose_269,0.42477939141336024,0.5962739129627435,0.48819068914544467,0.7658238762488672,0.20876171875,0.13307958984375,1.5686982428718714
goose_270,0.35179359514569275,0.5204841869483445,0.35216110317095034,0.9970423205352971,0.3225078125,0.11391162109375,2.8312108053889777
goose_271,0.1313497399790817,0.23220006216912256,0.13327749674594722,0.9008035189882909,0.26409375,0.03907373046875,6.75885682866176
goose_272,0.7628383200804459,0.8654660060324015,0.9534125652436315,0.7923742593358137,0.294494140625,0.354345703125,0.8310927380460245
goose_273,0.9299593967517401,0.9637087685025171,0.9371783675074199,0.9917850186135055,0.14033251953125,0.13260595703125,1.0582670844732802
goose_274,0.7729148027613798,0.8719142076737547,0.886593618356189,0.8577129763909934,0.21791015625,0.22524755859375,0.9674251637196053
goose_275,0.17953892763593904,0.30442221690092985,0.17953892763593904,1.0,0.309443359375,0.05555712890625,5.569822729629727
