sample_id,model,prompt_type,target_gt,status,iou,dice,precision,recall,pred_pixels,gt_pixels
goose_051,grounded_sam2,obstacle,obstacle,ok,0.007168402559919689,0.014234764596863368,0.010843259146775495,0.020713411594071522,42146,22063
goose_052,grounded_sam2,obstacle,obstacle,ok,0.01782451581469,0.03502473272698261,0.043448139350752174,0.0293370756482224,10104,14964
goose_053,grounded_sam2,obstacle,obstacle,ok,0.004049121739791651,0.008065584944241437,0.004067602406187339,0.47123893805309736,52365,452
goose_054,grounded_sam2,obstacle,obstacle,ok,0.0010488288078312551,0.0020954598370197903,0.012465373961218837,0.0011438739196746315,2888,31472
goose_055,grounded_sam2,obstacle,obstacle,ok,0.011410298184349204,0.022563144165790278,0.011410298184349204,1.0,1172362,13377
goose_056,grounded_sam2,obstacle,obstacle,ok,0.17999831682890566,0.30508232810471814,0.9893149544382256,0.18034892643425515,64857,355777
goose_001,grounded_sam2,water_risk,water_risk,ok,0.03356341673856773,0.06494699056682528,0.9961587708066582,0.033567761142511976,3124,92708
goose_002,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,,0.0,0,886082
goose_003,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,,0.0,0,881541
goose_004,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,,0.0,0,321516
goose_005,grounded_sam2,water_risk,water_risk,ok,2.043229283017223e-06,4.086450216479701e-06,1.1931655477425308e-05,2.4654123196653614e-06,251432,1216835
goose_006,grounded_sam2,water_risk,water_risk,ok,0.05838444654472098,0.11032748399757215,0.1029606605614498,0.11882973810937397,874771,757950
goose_007,grounded_sam2,water_risk,water_risk,ok,0.03156429755570471,0.061196956177131036,0.06745069629636276,0.05600446195789819,891718,1073968
goose_008,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,,0.0,0,352429
goose_009,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,,0.0,0,757005
goose_010,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,,0.0,0,543541
goose_011,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,,0.0,0,333795
goose_012,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,,0.0,0,802538
goose_013,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,,0.0,0,86959
goose_014,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,,0.0,0,1144805
goose_015,grounded_sam2,water_risk,water_risk,ok,0.2197437832506426,0.3603113805835859,0.6398225419577314,0.2507635068591268,551567,1407322
goose_016,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,,0.0,0,129691
goose_017,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,,0.0,0,300840
goose_018,grounded_sam2,water_risk,water_risk,ok,0.4383862784164738,0.6095529205118605,0.761777825947086,0.5080333817875594,1162566,1743226
goose_019,grounded_sam2,water_risk,water_risk,ok,4.930030824157839e-05,9.859575568201035e-05,0.00017022759032948935,6.939451670350224e-05,505206,1239291
goose_020,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,,0.0,0,1470320
goose_021,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,0.0,0.0,269415,813798
goose_022,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,0.0,0.0,158,469854
goose_023,grounded_sam2,water_risk,water_risk,ok,0.00037951569621744386,0.0007587434373909958,0.0013819017030784644,0.0005229314158496505,368333,973359
goose_024,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,,0.0,0,436434
goose_025,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,,0.0,0,1818111
goose_026,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,,0.0,0,776475
goose_027,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,,0.0,0,771726
goose_028,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,,0.0,0,312082
goose_029,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,,0.0,0,780726
goose_030,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,,0.0,0,1063276
goose_031,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,,0.0,0,1615084
goose_032,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,,0.0,0,104471
goose_033,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,,0.0,0,1254061
goose_034,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,0.0,0.0,340735,1257882
goose_035,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,,0.0,0,554754
goose_036,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,0.0,0.0,41,493445
goose_037,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,,0.0,0,304017
goose_038,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,,0.0,0,202471
goose_039,grounded_sam2,water_risk,water_risk,ok,0.47225258414650856,0.6415374497987815,0.6859860864796494,0.6024984171253442,678333,772329
goose_040,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,,0.0,0,259005
goose_041,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,,0.0,0,144010
goose_042,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,,0.0,0,734843
goose_043,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,,0.0,0,965856
goose_044,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,0.0,0.0,501144,581489
goose_045,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,,0.0,0,780195
goose_046,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,,0.0,0,1056538
goose_047,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,0.0,0.0,224661,732867
goose_048,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,,0.0,0,1590082
goose_049,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,,0.0,0,459530
goose_050,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,,0.0,0,47744
goose_051,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,0.0,0.0,260982,510794
goose_052,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,,0.0,0,806044
goose_053,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,,0.0,0,263285
goose_054,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,,0.0,0,975669
goose_055,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,,0.0,0,1569131
goose_056,grounded_sam2,water_risk,water_risk,ok,0.0,0.0,,0.0,0,1042148
goose_001,lisa,traversable,traversable_strict,ok,0.897017406245331,0.9457134165371223,0.9771608768628249,0.9162269607450393,491525,524214
goose_002,lisa,traversable,traversable_strict,ok,0.7248645870398924,0.8404886881976757,0.7267508881394282,0.9964320705301365,933412,680787
goose_003,lisa,traversable,traversable_strict,ok,0.6087201442091033,0.7567756845717487,0.7451514472391263,0.7687683414851045,174021,168675
goose_004,lisa,traversable,traversable_strict,ok,0.9760924200058135,0.9879015881280916,0.9912138060924751,0.984611432508138,765633,770767
goose_005,lisa,traversable,traversable_strict,ok,0.9377468215220036,0.9678734198985295,0.9508948485380987,0.9854693311479543,295916,285534
goose_006,lisa,traversable,traversable_strict,ok,0.6715096011551074,0.803476810053686,0.6720544889578154,0.9987940582699001,888547,597873
goose_007,lisa,traversable,traversable_strict,ok,0.7108458997784942,0.8309876416929526,0.9959313318372179,0.7129162166991065,452728,632453
goose_008,lisa,traversable,traversable_strict,ok,0.9712747289728613,0.9854280732132623,0.9922940234389389,0.9786564847989951,570077,578021
goose_009,lisa,traversable,traversable_strict,ok,0.9354009562310504,0.9666223975135632,0.9969721712501273,0.9380658469634707,579293,615670
goose_010,lisa,traversable,traversable_strict,ok,0.8972506522175396,0.9458430294055427,0.9902095533393696,0.9052817132069629,307034,335838
goose_011,lisa,traversable,traversable_strict,ok,0.7979091403995283,0.8875967338618883,0.7998870063737804,0.9969106223478738,936336,751284
goose_012,lisa,traversable,traversable_strict,ok,0.9252216292768219,0.9611585650264758,0.9669103055959783,0.9554748491521061,483776,489566
goose_013,lisa,traversable,traversable_strict,ok,0.9722794614131945,0.9859449235622304,0.9977891292332224,0.9743786112672334,613333,628069
goose_014,lisa,traversable,traversable_strict,ok,0.4292830010198501,0.6006969938263307,0.4329529616075488,0.9806364480459188,134167,59235
goose_015,lisa,traversable,traversable_strict,ok,0.7980416949361624,0.8876787420266091,0.8003841502454293,0.996346093130347,323311,259722
goose_016,lisa,traversable,traversable_strict,ok,0.8682066684838791,0.9294546295442376,0.9403400980661117,0.9188182994582988,718087,734907
goose_017,lisa,traversable,traversable_strict,ok,0.9769639682872263,0.9883477736153526,0.9933527819011491,0.9833929479558392,582048,587943
goose_018,lisa,traversable,traversable_strict,ok,0.13776682029047027,0.24217057104073153,0.13776682029047027,1.0,527696,72699
goose_019,lisa,traversable,traversable_strict,ok,0.5656472513878832,0.7225730456032924,0.5672603423626502,0.9949978936753872,528796,301473
goose_020,lisa,traversable,traversable_strict,ok,0.8460323467967612,0.916595365476448,0.8527747237892688,0.990741257765059,332898,286540
goose_021,lisa,traversable,traversable_strict,ok,0.92698499354203,0.9621091982020267,0.9619164406984576,0.9623020329740583,289495,289379
goose_022,lisa,traversable,traversable_strict,ok,0.14766140609059145,0.25732573267160247,0.14871641573899583,0.9541592830004303,879802,137127
goose_023,lisa,traversable,traversable_strict,ok,0.6884507350527123,0.8154821704421471,0.6900672006853269,0.9966090059370686,382883,265114
goose_024,lisa,traversable,traversable_strict,ok,0.7512083875333034,0.8579314636465757,0.98749396808423,0.7584237379404924,594753,774389
goose_025,lisa,traversable,traversable_strict,ok,0.0,0.0,0.0,,130806,0
goose_026,lisa,traversable,traversable_strict,ok,0.9443703793479579,0.9713893910116562,0.9835399408374373,0.9595353908917389,491189,503477
goose_027,lisa,traversable,traversable_strict,ok,0.5153266584488441,0.6801525672046915,0.5200792124454938,0.9825762663085188,157551,83392
goose_028,lisa,traversable,traversable_strict,ok,0.22303391466811132,0.3647223711349573,0.22312658769642965,0.9981412408305359,719596,160860
goose_029,lisa,traversable,traversable_strict,ok,0.9279890701947693,0.9626497209354221,0.9699584811551816,0.955450281838255,582627,591474
goose_030,lisa,traversable,traversable_strict,ok,0.4173855341738553,0.5889513108614233,0.417950880421171,0.9967696714816846,430419,180477
goose_031,lisa,traversable,traversable_strict,ok,0.008500780241585914,0.016858252186080717,0.008500780241585914,1.0,830512,7060
goose_032,lisa,traversable,traversable_strict,ok,0.9883152713621892,0.9941233018696247,0.9963996899292428,0.991857291434368,504401,506711
goose_033,lisa,traversable,traversable_strict,ok,0.7405907821435432,0.8509648445127387,0.7968930742108464,0.9129086462929822,251567,219597
goose_034,lisa,traversable,traversable_strict,ok,0.9836210562122629,0.9917429068740514,0.9884910777365027,0.9950162016459725,351032,348730
goose_035,lisa,traversable,traversable_strict,ok,0.9229003313464715,0.959904490421747,0.9295753281499484,0.9922794953537938,652598,611359
goose_036,lisa,traversable,traversable_strict,ok,0.051295930214314854,0.09758609110920419,0.05134842960236836,0.9804578168732507,382037,20008
goose_037,lisa,traversable,traversable_strict,ok,0.8343449762595105,0.9096925464487691,0.999608616920735,0.8346176261089167,554444,664049
goose_038,lisa,traversable,traversable_strict,ok,0.8117259088361423,0.8960802568172106,0.9856165207427243,0.8214567432878426,631836,758102
goose_039,lisa,traversable,traversable_strict,ok,0.0,0.0,0.0,,527083,0
goose_040,lisa,traversable,traversable_strict,ok,0.9827905250726516,0.9913205783920529,0.9909991340459019,0.9916422313357504,791035,790522
goose_041,lisa,traversable,traversable_strict,ok,0.8608097777510896,0.9251991128200482,0.948377115754547,0.9031270066271702,393004,412695
goose_042,lisa,traversable,traversable_strict,ok,0.7266189238751619,0.8416668134788704,0.9554586699884575,0.7520948872606567,175006,222327
goose_043,lisa,traversable,traversable_strict,ok,0.5003096858423455,0.6669418861499221,0.5019784147154345,0.9933993651960034,775621,391932
goose_044,lisa,traversable,traversable_strict,ok,0.8908049465951984,0.9422494352992725,0.9777524311230789,0.9092343861055932,510258,548710
goose_045,lisa,traversable,traversable_strict,ok,0.9236205211987251,0.9602938947887298,0.9722706503228852,0.9486086161175488,296545,303942
goose_046,lisa,traversable,traversable_strict,ok,0.833508323673462,0.9091950256364425,0.8376132492902384,0.994154713689552,327927,276291
goose_047,lisa,traversable,traversable_strict,ok,0.9165806596365268,0.9564749127859333,0.9186913618005019,0.9974996581563885,222338,204772
goose_048,lisa,traversable,traversable_strict,ok,0.6858916369387976,0.8136841323730907,0.7326935466225826,0.9148049779936257,164534,131780
goose_049,lisa,traversable,traversable_strict,ok,0.8496478283354335,0.9187130818303536,0.8581580893036463,0.9884628910139353,271859,236021
goose_050,lisa,traversable,traversable_strict,ok,0.9779646386542373,0.988859577711786,0.9927851796190862,0.9849648982157214,865025,871893
goose_051,lisa,traversable,traversable_strict,ok,0.4822215884215517,0.650674085694676,0.8382750007105391,0.5316859585906313,316661,499259
goose_052,lisa,traversable,traversable_strict,ok,0.9326195769627266,0.9651351855065199,0.9388405778980864,0.9929451280389836,319918,302486
goose_053,lisa,traversable,traversable_strict,ok,0.020832621149936555,0.040814959707046294,0.024060066559991083,0.13442674002179894,430589,77068
goose_054,lisa,traversable,traversable_strict,ok,0.8439948185293206,0.9153982538871224,0.9836980282024113,0.855967051655074,539812,620365
goose_055,lisa,traversable,traversable_strict,ok,0.4967216561313019,0.6637462003659635,0.4967369731220776,0.9999379264032865,356724,177209
goose_056,lisa,traversable,traversable_strict,ok,0.8909725710027057,0.9423431991192334,0.9886160884826095,0.9002083000830745,445014,488718
goose_001,lisa,obstacle,obstacle,missing_pred_or_gt,,,,,,
goose_002,lisa,obstacle,obstacle,missing_pred_or_gt,,,,,,
goose_003,lisa,obstacle,obstacle,missing_pred_or_gt,,,,,,
goose_004,lisa,obstacle,obstacle,missing_pred_or_gt,,,,,,
goose_005,lisa,obstacle,obstacle,missing_pred_or_gt,,,,,,
goose_006,lisa,obstacle,obstacle,missing_pred_or_gt,,,,,,
goose_007,lisa,obstacle,obstacle,missing_pred_or_gt,,,,,,
goose_008,lisa,obstacle,obstacle,missing_pred_or_gt,,,,,,
goose_009,lisa,obstacle,obstacle,missing_pred_or_gt,,,,,,
goose_010,lisa,obstacle,obstacle,missing_pred_or_gt,,,,,,
goose_011,lisa,obstacle,obstacle,missing_pred_or_gt,,,,,,
goose_012,lisa,obstacle,obstacle,missing_pred_or_gt,,,,,,
goose_013,lisa,obstacle,obstacle,missing_pred_or_gt,,,,,,
goose_014,lisa,obstacle,obstacle,missing_pred_or_gt,,,,,,
goose_015,lisa,obstacle,obstacle,missing_pred_or_gt,,,,,,
